partition_count,balance_difference,cut_size
90,31,28617
90,33,31175
90,35,27575
90,37,31297
90,39,30479
90,41,31542
90,43,30527
90,45,29335
90,47,29219
90,49,29154
90,51,29189
90,53,29347
90,55,29332
90,57,27595
90,59,27682
100,3,34659
100,5,33892
100,7,32487
100,9,31908
100,11,33157
100,13,30433
100,15,30023
100,17,29102
100,19,33441
100,21,30547
100,23,30236
100,25,29907
100,27,29456
100,29,31937
100,31,26803
100,33,26358
100,35,31256
100,37,30517
100,39,30495
100,41,29385
100,43,30436
100,45,30506
100,47,29245
100,49,29169
100,51,29261
100,53,29362
100,55,29458
100,57,27572
100,59,27589
110,3,34884
110,5,33891
110,7,32680
110,9,32563
110,11,30458
110,13,30275
110,15,29693
110,17,31347
110,19,31063
110,21,30541
110,23,28316
110,25,29743
110,27,31935
110,29,28830
110,31,28582
110,33,26091
110,35,27516
110,37,31329
110,39,30363
110,41,30455
110,43,30497
110,45,30538
110,47,29277
110,49,29385
110,51,29319
110,53,29338
110,55,29327
110,57,27598
110,59,27611
120,3,34680
120,5,33687
120,7,32684
120,9,32477
120,11,30625
120,13,30470
120,15,30636
120,17,29979
120,19,33122
120,21,28706
120,23,32714
120,25,29814
120,27,29552
120,29,28119
120,31,31243
120,33,31260
120,35,30472
120,37,31271
120,39,27069
120,41,31548
120,43,30446
120,45,30527
120,47,30525
120,49,29264
120,51,29355
120,53,29318
120,55,29319
120,57,29322
120,59,27500
130,3,34592
130,5,33937
130,7,34045
130,9,31430
130,11,32891
130,13,30402
130,15,29774
130,17,29153
130,19,32886
130,21,29119
130,23,30054
130,25,29707
130,27,27555
130,29,31871
130,31,31289
130,33,28402
130,35,31271
130,37,31383
130,39,26999
130,41,30401
130,43,29230
130,45,30593
130,47,30575
130,49,29110
130,51,29322
130,53,29369
130,55,24318
130,57,29396
130,59,27571
140,3,34723
140,5,34010
140,7,32608
140,9,31439
140,11,30989
140,13,29964
140,15,33637
140,17,31602
140,19,28236
140,21,32841
140,23,28203
140,25,28108
140,27,31953
140,29,28176
140,31,28675
140,33,31242
140,35,27674
140,37,30414
140,39,30368
140,41,29272
140,43,30479
140,45,30582
140,47,25281
140,49,29284
140,51,29269
140,53,29262
140,55,29273
140,57,27742
140,59,29433
150,3,34613
150,5,33699
150,7,32424
150,9,31277
150,11,31092
150,13,30406
150,15,29771
150,17,29108
150,19,34280
150,21,28367
150,23,30324
150,25,29853
150,27,29397
150,29,31864
150,31,32582
150,33,28368
150,35,27568
150,37,30395
150,39,31384
150,41,26622
150,43,30544
150,45,30508
150,47,30568
150,49,28034
150,51,29372
150,53,29322
150,55,29309
150,57,29360
150,59,27506
