partition_count, balance_difference, cut_size
10,3,112239
10,5,112211
10,7,112196
10,9,112169
10,11,112160
10,13,112115
10,15,112080
10,17,112038
10,19,112002
10,21,111949
10,23,111890
10,25,111837
10,27,111792
10,29,111710
10,31,111635
10,33,111593
10,35,111515
10,37,111449
10,39,111358
10,41,111278
10,43,111204
10,45,111110
10,47,111002
10,49,110920
10,51,110791
10,53,110723
10,55,110625
10,57,97427
10,59,97107
20,3,118544
20,5,118532
20,7,118514
20,9,118488
20,11,118460
20,13,118430
20,15,118399
20,17,118364
20,19,118325
20,21,118281
20,23,118234
20,25,118183
20,27,118127
20,29,109414
20,31,108405
20,33,98747
20,35,112861
20,37,105981
20,39,104956
20,41,110806
20,43,104126
20,45,103777
20,47,109264
20,49,101875
20,51,101607
20,53,101402
20,55,100862
20,57,106876
20,59,100628
30,3,120516
30,5,120311
30,7,120195
30,9,119660
30,11,110302
30,13,110319
30,15,115328
30,17,114767
30,19,106508
30,21,108597
30,23,116648
30,25,111323
30,27,110820
30,29,110134
30,31,109565
30,33,102925
30,35,108466
30,37,107432
30,39,107035
30,41,106951
30,43,105323
30,45,105104
30,47,104845
30,49,104979
30,51,105148
30,53,104773
30,55,103154
30,57,102877
30,59,102403
40,3,121417
40,5,121384
40,7,117152
40,9,112991
40,11,112461
40,13,109589
40,15,116039
40,17,108170
40,19,105144
40,21,103880
40,23,117237
40,25,116813
40,27,116295
40,29,105741
40,31,110908
40,33,110369
40,35,109760
40,37,109351
40,39,109214
40,41,100900
40,43,107738
40,45,112201
40,47,98560
40,49,107371
40,51,105768
40,53,105604
40,55,105487
40,57,105509
40,59,105535
50,3,122170
50,5,117432
50,7,115014
50,9,114449
50,11,110268
50,13,108643
50,15,110086
50,17,108800
50,19,105728
50,21,106388
50,23,109143
50,25,101843
50,27,107199
50,29,102243
50,31,98946
50,33,105431
50,35,103624
50,37,109074
50,39,102762
50,41,102163
50,43,100818
50,45,108069
50,47,99947
50,49,107963
50,51,97939
50,53,97458
50,55,105745
50,57,105689
50,59,105763
60,3,122464
60,5,117552
60,7,114099
60,9,113409
60,11,111592
60,13,108815
60,15,108290
60,17,106919
60,19,118954
60,21,103662
60,23,106174
60,25,101967
60,27,107755
60,29,107091
60,31,105995
60,33,100422
60,35,99747
60,37,111114
60,39,103587
60,41,101421
60,43,102611
60,45,100887
60,47,108388
60,49,112282
60,51,108014
60,53,91893
60,55,97058
60,57,106069
60,59,105855
70,3,122996
70,5,118129
70,7,115582
70,9,113567
70,11,110599
70,13,110359
70,15,108683
70,17,109420
70,19,105822
70,21,105108
70,23,101959
70,25,100959
70,27,99842
70,29,102779
70,31,99216
70,33,105728
70,35,105447
70,37,98973
70,39,103678
70,41,97288
70,43,93311
70,45,113546
70,47,100473
70,49,99900
70,51,106461
70,53,106272
70,55,97412
70,57,108334
70,59,106067
80,3,119576
80,5,117811
80,7,114667
80,9,112488
80,11,111885
80,13,110172
80,15,107176
80,17,105972
80,19,106021
80,21,104483
80,23,105812
80,25,102255
80,27,98888
80,29,114171
80,31,106255
80,33,105686
80,35,105230
80,37,105673
80,39,111408
80,41,102941
80,43,101659
80,45,101052
80,47,100706
80,49,108434
80,51,109906
80,53,97408
80,55,97187
80,57,96621
80,59,95848
90,3,119398
90,5,118247
90,7,114697
90,9,112018
90,11,110634
90,13,110506
90,15,108810
90,17,107283
90,19,108265
90,21,103318
90,23,115894
90,25,102186
90,27,101071
90,29,102873
90,31,106984
90,33,116343
90,35,105131
90,37,99014
90,39,103706
90,41,97208
90,43,109924
90,45,109884
90,47,111525
90,49,100458
90,51,112368
90,53,97540
90,55,97416
90,57,97157
90,59,108538
100,3,123466
100,5,117851
100,7,115970
100,9,111976
100,11,110795
100,13,110437
100,15,108775
100,17,107251
100,19,105980
100,21,107554
100,23,103462
100,25,104731
100,27,103712
100,29,98905
100,31,102305
100,33,101209
100,35,105673
100,37,104467
100,39,110357
100,41,103080
100,43,102893
100,45,101590
100,47,100203
100,49,100171
100,51,99924
100,53,108206
100,55,97190
100,57,96987
100,59,108590
110,3,120089
110,5,117790
110,7,114962
110,9,114813
110,11,112170
110,13,108124
110,15,111376
110,17,107612
110,19,108490
110,21,107457
110,23,116123
110,25,105265
110,27,103920
110,29,108061
110,31,107477
110,33,100728
110,35,100155
110,37,99331
110,39,104016
110,41,103534
110,43,102720
110,45,101256
110,47,100703
110,49,94256
110,51,99518
110,53,98284
110,55,97438
110,57,97015
110,59,106320
120,3,119470
120,5,117706
120,7,114944
120,9,113684
120,11,112151
120,13,115656
120,15,114777
120,17,106016
120,19,105802
120,21,107434
120,23,103213
120,25,105377
120,27,103985
120,29,108577
120,31,98862
120,33,101225
120,35,105719
120,37,99465
120,39,97839
120,41,103795
120,43,101500
120,45,100704
120,47,100921
120,49,108211
120,51,99414
120,53,108502
120,55,97577
120,57,97002
120,59,105900
130,3,119514
130,5,116923
130,7,114227
130,9,112944
130,11,112367
130,13,109127
130,15,109009
130,17,107690
130,19,108699
130,21,104597
130,23,103777
130,25,109917
130,27,99900
130,29,103141
130,31,107170
130,33,100733
130,35,112682
130,37,104270
130,39,103819
130,41,111577
130,43,102779
130,45,101343
130,47,100617
130,49,93561
130,51,98469
130,53,108453
130,55,108584
130,57,97205
130,59,106244
140,3,119510
140,5,117522
140,7,115986
140,9,112127
140,11,112368
140,13,109375
140,15,108865
140,17,106216
140,19,104885
140,21,105162
140,23,102152
140,25,115725
140,27,101375
140,29,107866
140,31,107457
140,33,106339
140,35,106167
140,37,104516
140,39,98025
140,41,96939
140,43,101577
140,45,112925
140,47,101007
140,49,100446
140,51,98364
140,53,98055
140,55,110515
140,57,110798
140,59,106281
150,3,119573
150,5,117753
150,7,115029
150,9,114016
150,11,111042
150,13,110506
150,15,108907
150,17,110091
150,19,106121
150,21,103423
150,23,103563
150,25,110169
150,27,109003
150,29,103070
150,31,107338
150,33,101263
150,35,105757
150,37,105310
150,39,101537
150,41,103585
150,43,97286
150,45,101112
150,47,100435
150,49,100236
150,51,99744
150,53,98359
150,55,97757
150,57,97345
150,59,96861
