partition_count, balance_difference, cut_size
10,3,19314
10,5,19296
10,7,19277
10,9,19259
10,11,19236
10,13,19212
10,15,19181
10,17,19138
10,19,19096
10,21,19064
10,23,18686
10,25,18293
10,27,16391
10,29,17302
10,31,17256
10,33,15642
10,35,15325
10,37,15233
10,39,14575
10,41,14478
10,43,14336
10,45,14225
10,47,13998
10,49,13919
10,51,13798
10,53,13626
10,55,13405
10,57,12602
10,59,12351
20,3,20353
20,5,20344
20,7,20323
20,9,18551
20,11,17533
20,13,17762
20,15,17358
20,17,19080
20,19,17642
20,21,17490
20,23,18415
20,25,18385
20,27,17047
20,29,17939
20,31,16762
20,33,16634
20,35,15960
20,37,17207
20,39,15721
20,41,15552
20,43,15907
20,45,15870
20,47,16302
20,49,14862
20,51,14942
20,53,14737
20,55,14709
20,57,14562
20,59,14528
30,3,20733
30,5,20705
30,7,19148
30,9,18721
30,11,18328
30,13,17243
30,15,16803
30,17,17444
30,19,16964
30,21,17835
30,23,16513
30,25,15993
30,27,15735
30,29,17174
30,31,17118
30,33,17044
30,35,16886
30,37,16229
30,39,16179
30,41,16221
30,43,16133
30,45,16101
30,47,14962
30,49,15987
30,51,14747
30,53,14784
30,55,14718
30,57,14677
30,59,14793
40,3,20906
40,5,19331
40,7,18659
40,9,18085
40,11,17811
40,13,19893
40,15,17032
40,17,17369
40,19,19339
40,21,18217
40,23,18173
40,25,17745
40,27,17785
40,29,17671
40,31,17140
40,33,17668
40,35,17016
40,37,17002
40,39,16233
40,41,16110
40,43,16108
40,45,16162
40,47,16202
40,49,16104
40,51,14844
40,53,14727
40,55,14776
40,57,14775
40,59,14725
50,3,20174
50,5,19313
50,7,18827
50,9,17966
50,11,19430
50,13,18206
50,15,18976
50,17,18858
50,19,16354
50,21,16867
50,23,16690
50,25,16335
50,27,17779
50,29,15913
50,31,17712
50,33,17000
50,35,17049
50,37,17141
50,39,14506
50,41,16241
50,43,16144
50,45,16287
50,47,16168
50,49,16128
50,51,16145
50,53,14741
50,55,14775
50,57,14747
50,59,14640
60,3,20289
60,5,19418
60,7,18893
60,9,18393
60,11,17469
60,13,18208
60,15,17116
60,17,17737
60,19,17104
60,21,16065
60,23,16580
60,25,16498
60,27,15953
60,29,15864
60,31,17159
60,33,17180
60,35,15267
60,37,17073
60,39,17066
60,41,17055
60,43,16166
60,45,16138
60,47,16102
60,49,16170
60,51,16108
60,53,16152
60,55,14679
60,57,14648
60,59,14564
70,3,20051
70,5,19213
70,7,18860
70,9,17959
70,11,20155
70,13,19327
70,15,19179
70,17,19675
70,19,17325
70,21,16849
70,23,16236
70,25,18254
70,27,17265
70,29,15882
70,31,17210
70,33,17145
70,35,15353
70,37,17111
70,39,17145
70,41,16222
70,43,16163
70,45,16046
70,47,16095
70,49,16161
70,51,16101
70,53,16088
70,55,14718
70,57,14694
70,59,14569
80,3,20241
80,5,19937
80,7,18849
80,9,18489
80,11,17499
80,13,18446
80,15,17172
80,17,17922
80,19,17354
80,21,18355
80,23,16776
80,25,16556
80,27,17834
80,29,18336
80,31,17219
80,33,17858
80,35,17864
80,37,17116
80,39,17185
80,41,17219
80,43,16113
80,45,16102
80,47,16185
80,49,16214
80,51,16178
80,53,16146
80,55,16133
80,57,14637
80,59,14641
90,3,20341
90,5,19926
90,7,18400
90,9,17958
90,11,17879
90,13,19511
90,15,16959
90,17,19105
90,19,18658
90,21,18612
90,23,16931
90,25,16604
90,27,18848
90,29,17766
90,31,15700
90,33,17090
90,35,17886
90,37,17132
90,39,17203
90,41,17185
90,43,16242
90,45,16166
90,47,16181
90,49,16201
90,51,16147
90,53,16190
90,55,16152
90,57,14791
90,59,14661
100,3,20191
100,5,19525
100,7,18979
100,9,18471
100,11,17915
100,13,18283
100,15,18122
100,17,18955
100,19,17469
100,21,18616
100,23,16771
100,25,16570
100,27,18232
100,29,17789
100,31,17771
100,33,17212
100,35,17196
100,37,17928
100,39,14460
100,41,17167
100,43,16128
100,45,16211
100,47,16190
100,49,16271
100,51,16224
100,53,16202
100,55,14709
100,57,14707
100,59,14630
110,3,20190
110,5,19559
110,7,19486
110,9,19143
110,11,17491
110,13,17133
110,15,16623
110,17,17675
110,19,17454
110,21,17220
110,23,16729
110,25,18256
110,27,16451
110,29,17778
110,31,17753
110,33,17830
110,35,17827
110,37,17168
110,39,17102
110,41,17113
110,43,17195
110,45,16103
110,47,16204
110,49,16141
110,51,16140
110,53,16168
110,55,16129
110,57,14685
110,59,14630
120,3,20040
120,5,19596
120,7,18630
120,9,18049
120,11,17526
120,13,17594
120,15,18172
120,17,16689
120,19,18956
120,21,16298
120,23,18678
120,25,16428
120,27,16100
120,29,15965
120,31,15745
120,33,17818
120,35,17887
120,37,17128
120,39,17118
120,41,17150
120,43,17180
120,45,16161
120,47,16129
120,49,16148
120,51,16196
120,53,16175
120,55,16185
120,57,16226
120,59,14645
130,3,20305
130,5,20056
130,7,19070
130,9,18106
130,11,18011
130,13,18547
130,15,16979
130,17,16266
130,19,17597
130,21,18980
130,23,16770
130,25,16656
130,27,15253
130,29,17785
130,31,17729
130,33,17852
130,35,17085
130,37,17202
130,39,17174
130,41,17191
130,43,16192
130,45,17211
130,47,16168
130,49,16284
130,51,16146
130,53,16152
130,55,12394
130,57,14663
130,59,14629
140,3,20020
140,5,19617
140,7,19028
140,9,19054
140,11,17575
140,13,17516
140,15,16441
140,17,19000
140,19,17482
140,21,18666
140,23,18652
140,25,16582
140,27,16388
140,29,17788
140,31,14841
140,33,17095
140,35,17913
140,37,17198
140,39,17215
140,41,17207
140,43,16156
140,45,17284
140,47,16138
140,49,16176
140,51,16244
140,53,16219
140,55,16201
140,57,14670
140,59,14659
150,3,20068
150,5,19620
150,7,19065
150,9,18562
150,11,17518
150,13,16856
150,15,19389
150,17,16650
150,19,17085
150,21,16010
150,23,18278
150,25,18231
150,27,16159
150,29,15942
150,31,15822
150,33,17772
150,35,17139
150,37,17174
150,39,17120
150,41,17185
150,43,17226
150,45,16144
150,47,16193
150,49,16198
150,51,16186
150,53,16249
150,55,16172
150,57,14734
150,59,14693
